Team brjFEj: 1939652216 points, rank 1
Team TUlNv: 1537604018 points, rank 21392
Team wHpmxLLybCEOXTKJWwn: 889524511 points, rank 39933
Team ZAHVUCrFuC: 535541875 points, rank 49999
Team VNBDEH: 157266865 points, rank 60219
Team DzIshLcmLgyFPv: 1070818812 points, rank 34667
Team CEeup: 799676848 points, rank 42509
Team miZInqVjbHB: 1450437429 points, rank 23801
Team BUNThIuIMHHX: 713919305 points, rank 44954
Team WADHSMXIIueHmtzQG: 486753322 points, rank 51358
Team uhXvTTQI: 2481876851 points, rank 2984
Team iHxxKJvbFcfOT: 3753061050 points, rank 73
Team HNBiIi: 126616847 points, rank 61031
Team gCXZfj: 1135709127 points, rank 32759
Team xwVqbcwuKEFeqSRK: 1664412062 points, rank 17899
Team ZhVppYiH: 2036105226 points, rank 7835
Team yOohgxKDJ: 1372985337 points, rank 26017
Team SGgCfpLyMiTwqICS: 1290972789 points, rank 28372
Team iQvVGS: 540421259 points, rank 49898
Team igNargiNQSgKUeQoDS: 831719897 points, rank 41647
Team DPmmBmldS: 1350668464 points, rank 26619
Team ToyNYvrtZnYxaSFlnFH: 920544402 points, rank 39106
Team fxoZcGVnX: 1904523696 points, rank 11289
Team aKUfgkfhUS: 1264554378 points, rank 29151
Team ifYsJZmjbmKyXgt: 1915923075 points, rank 10989
Team QijBWdEFRqEEkqtaH: 1701638428 points, rank 16900
Team bnmyVeu: 651215373 points, rank 46813
Team ZUvkiMokStPSGB: 2488389162 points, rank 2944
Team NVEjpHiXIlybR: 839847091 points, rank 41411
Team TogMgMKNYALC: 473714293 points, rank 51832
Team XhnDLDUe: 1227261932 points, rank 30248
Team oyPxrLdKkRWSbr: 806949033 points, rank 42356
Team ttfDSLeGuIBJ: 822853143 points, rank 41920
Team HdjJKGsNnOHST: 610673329 points, rank 47970
Team WXkNnogFLlp: 774916418 points, rank 43300
Team ihYpWjJJLnhMazc: 347895949 points, rank 55234
Team gGKbSFPvHKea: 1368152766 points, rank 26198
Team ijtgESWhLPiGYDcUQO: 1178591759 points, rank 31569
Team LzAvPqXRYpxVeIWBaZq: 1988419189 points, rank 9127
Team xcgNpkGBksEiwmm: 2003639613 points, rank 8726
Team mCQvQvFOWzvPGwpaCHME: 2102328211 points, rank 6082
Team RlaXPglI: 801959013 points, rank 42553
Team FoMie: 477343815 points, rank 51795
Team TCmuMe: 1254441894 points, rank 29495
Team tyEayXsDmRYfYRUF: 157919434 points, rank 60388
Team JebfYNVSwLiiwbFb: 883082521 points, rank 40239
Team bDvtOFvOVcVwaJ: 2135831707 points, rank 5229
Team XVIjlhXgYOkiArnc: 1988500277 points, rank 9129
Team kFJdALDI: 479872405 points, rank 51751
Team roIWvmZbrUBlig: 314540912 points, rank 56230
Team XbVXIHwlcOVFdhDA: 909763080 points, rank 39486
Team aPrrrOvgKp: 1632435938 points, rank 18845
Team YZhEQ is ELIMINATED
Team VAQBhZZHcrnLHmGyHo: 1899765029 points, rank 11426
Team NQPiUVfiRLfY: 1118964172 points, rank 33331
Team jOInQyIUzfKz is ELIMINATED
Team FMyrGfjzfkveQ: 934801416 points, rank 38791
Team pdZAMXlFAEyHQaYwZfIe: 1247362854 points, rank 29742
Team PpKlpEfZJEny: 544571975 points, rank 49897
Team InoIONPdKLaFKOGbpZ: 846957698 points, rank 41299
Team WVnSEoTWBxZKnnRA: 417011531 points, rank 53501
Team fPPok: 1856697021 points, rank 12569
Team RIFXrkYzOzZOrGkBQwo: 1095545894 points, rank 34041
Team PqfFeVtxqczodQwh: 719817974 points, rank 44940
Team elwAdemXcoMwufqfA: 630194729 points, rank 47517
Team GBJVcbYdvAlDKASpAwo: 1865392833 points, rank 12330
Team rsLPlmoseduf: 1262425270 points, rank 29282
Team PsNkcOTBCBgAUHpEnF: 3407639202 points, rank 331
Team oIIdhDD: 261006799 points, rank 57689
Team ECfFudRGnGulkdZxqsvH: 1119311580 points, rank 33342
Team oLHnPPDlbG: 1266358021 points, rank 29182
Team LjtKXhZYopTcBKCE: 642330532 points, rank 47210
Team psISYOFvi: 1624493298 points, rank 19072
Team xUFqOqUqvj: 1879491512 points, rank 11988
Team uOgTpK is ELIMINATED
Team qocRXRgdoKReRCHA is ELIMINATED
Team umKbDXho: 1291491319 points, rank 28460
Team WoExiU: 103110945 points, rank 61918
Team wrIlDRpAPqbIAyGg: 261415238 points, rank 57717
Team IQqiLJtWJ: 1795523165 points, rank 14296
Team dNVkdyHdsE: 1420492585 points, rank 24767
Team aOFGCj: 72824929 points, rank 62806
Team MkWTwMeBBcBlWJqbey: 836726383 points, rank 41651
Team DDBOZlrcj: 1046259712 points, rank 35538
Team nwXdGBilwZPhzuWYu: 1380737149 points, rank 25939
Team KIvsjDhKWwasJeG is ELIMINATED
Team rOPCulVvjvizI: 272041865 points, rank 57494
Team xqeHKBviZBdQFotPs: 802747516 points, rank 42660
Team OjJBASyZA: 1007610006 points, rank 36709
Team jvvhp: 2709285753 points, rank 1999
Team WOJPLQlyYxQoWjAIuCnc: 1395747838 points, rank 25513
Team xvwlFUBgEfjoHOVPS: 421041222 points, rank 53528
Team GZDuHYgqNvvXEnXtSWLh: 1622312413 points, rank 19198
Team fVWKHBvuP: 278923230 points, rank 57334
Team lmVAJR: 1650227303 points, rank 18394
Team pKKnm: 1342559461 points, rank 27002
Team ZVVhWoEuN: 738874479 points, rank 44507
Team UIyALWXeoaW: 729001560 points, rank 44801
Team HafNg: 1969594619 points, rank 9668
Team wtMoprdsuqLsMycNB: 1855547405 points, rank 12649
Team UrCLKdtvpOYJLnkUGqS: 1497624717 points, rank 22639
Team qwVQZTnatrvsWRtrViu: 15844856 points, rank 64295
Team nEHqSLPWgSw: 638591041 points, rank 47420
Team xOOTtduadHYwFCmauJq: 2035922664 points, rank 7890
Team JVtTel: 1777043113 points, rank 14866
Team UrqbrFctCvPK: 1509027709 points, rank 22357
Team ZgpntsoTgxjFKIFPdz: 1988417405 points, rank 9181
Team ooHhEKCSVr: 76069538 points, rank 62825
Team OXlRrbGIuoGVDixiAYwU: 1781934603 points, rank 14722
Team kakbQFbrJtMN: 441660311 points, rank 53002
Team xOWqVbkskLVOs is ELIMINATED
Team zcZDuyGFF: 2554710029 points, rank 2637
Team erRXXPvJuUBihY: 232782099 points, rank 58616
Team swhbVEyxCC: 1666149691 points, rank 17983
Team bXasiojHPzriXZZ: 1228440556 points, rank 30397
Team uBvirUBHtq: 275096811 points, rank 57532
Team tfFohvmlQGmCF: 1863309846 points, rank 12450
Team tjvaCbL: 1845948092 points, rank 12923
Team zBtuuJO: 1033380929 points, rank 36007
Team ghrZrdhSGrdzsFvpxk: 1329693124 points, rank 27422
Team MyVHygSNC: 873970415 points, rank 40714
Team QuVyLpyFpohbLxzpF: 3150982116 points, rank 742
Team oAvMuhBcEJBdKYJdNp: 323201893 points, rank 56232
Team UYaDTCgTgRzaJZLovnD: 471675550 points, rank 52193
Team PHdLLXNeOhRESpW: 420565199 points, rank 53644
Team dCcGInjUxiQiJVbT: 610800155 points, rank 48248
Team lZkTnJwtlwV: 1928304934 points, rank 10738
Team NnUUjMPymKNplHgH: 1335975720 points, rank 27251
Team grtyspvXYOb: 221048271 points, rank 58989
Team VhhqicIkcRAYTwmdAP: 491105239 points, rank 51626
Team VkPvPskGIbG: 649758499 points, rank 47150
Team gDGijVIrVWao: 74681417 points, rank 62937
Team SMdpbGBFnIjFCZzWqE: 849409809 points, rank 41416
Team kfQEqyXGOEmBe: 942814501 points, rank 38730
Team EaUnbuVuRcaHauuJYB: 1324185934 points, rank 27601
Team zMmSMDIwxuxBNIvuRlz: 366172793 points, rank 55088
Team wUIfFPtYforFFgVyE: 711913599 points, rank 45363
Team TaQhtEfdRxgmfsfKH is ELIMINATED
Team bACEYUWXuJSgWldVmVrD: 1658804243 points, rank 18233
Team CDTXiJJsqPLXjP: 601448992 points, rank 48549
Team vxRoRmMsW is ELIMINATED
Team jIeIHqkbR: 361676007 points, rank 55227
Team BYolSihvOsuTRClHJQA: 1209710606 points, rank 30928
Team ySwZLQkPGRy: 1123358395 points, rank 33380
Team lgjUSRYVathbDOiYZxU: 1719057795 points, rank 16550
Team nOXYWCo: 3664320294 points, rank 126
Team VxrKOFYoVVEnk: 1586364049 points, rank 20273
Team kyOiogCnKBRIsOhdwYq: 2271130549 points, rank 4204
Team vuJxnZJuaMazRx: 783116864 points, rank 43347
Team yhqyovFiflsZnLB: 1260092325 points, rank 29500
Team vbTVeHy: 14365896 points, rank 64484
Team wLcjCGFKMJConnmY: 1267654465 points, rank 29284
Team uJhLozqAjZesOukjxN is ELIMINATED
Team XTtfQc: 458470429 points, rank 52651
Team yEHyaT: 1397447440 points, rank 25550
Team irlRQBR: 120314118 points, rank 61757
Team kjQGXCSs: 288246769 points, rank 57255
Team mBoQSkuHj: 816202404 points, rank 42422
Team IyvpSjLPNzVgQ is ELIMINATED
Team QCFpoOeC: 1325245138 points, rank 27600
Team KUKVhXIcPG: 866917827 points, rank 40991
Team rjBbftXrH: 2987816529 points, rank 1079
Team CoYDqMVxqclZ is ELIMINATED
Team rLOuTPEWRS: 1246762358 points, rank 29949
Team qSIaxeobifdDLb: 647204283 points, rank 47345
Team hiDByYwkZnlnwehsU: 2033149437 points, rank 7984
Team qgyUlRjTzTKNHsWt: 1088410181 points, rank 34480
Team CGUNnDOATQTx: 608376459 points, rank 48438
Team sMYlkOLZtzVCO: 217423986 points, rank 59234
Team WgJzWpfFlPKAqgIGrOp: 1330864756 points, rank 27471
Team XtxDtIgwWhsrLxVg: 1726017534 points, rank 16379
Team DlWnGbkETRbzPEqYho: 690792625 points, rank 46099
Team mwPnZvZhxqHI is ELIMINATED
Team ifQjakrRMqr: 328024076 points, rank 56266
Team vbcHLoySZnbtfo: 282840993 points, rank 57502
Team GyjbpctuxpJcrgADb: 886484871 points, rank 40456
Team MHptkRayPrBFrG: 803470016 points, rank 42857
Team DlzwYyAQ: 975240006 points, rank 37857
Team IoqWvpKCFHRKJJjktAR: 1612051716 points, rank 19594
Team dlWKgJMl: 1185486657 points, rank 31655
Team TMMONkztMGFHo: 1711932987 points, rank 16785
Team oHntlSZpdckU: 1442525380 points, rank 24290
Team fuRmInY: 83235 points, rank 65008
Team cWKZLGozaSDLVbNP: 42510482 points, rank 63971
Team wapztLmobszv: 911364499 points, rank 39752
Team HGkrZODxzORYj is ELIMINATED
Team QafUiPFLVeiXqT: 2064265016 points, rank 7154
Team JWLUXtdLoFvCarG: 922855515 points, rank 39434
Team RTmJOYhDXCuMZFdrUvz: 2103343858 points, rank 6123
Team nZIZOpMfnNvAtjEjcLy: 1758681760 points, rank 15475
Team uXMSBqZ: 41921194 points, rank 64033
Team LhLIAsbNDFz: 1747100178 points, rank 15797
Team erxpiVbEiTAnQ: 1206302441 points, rank 31130
Team ijjnNTndSml: 1419102790 points, rank 24996
Team OPHiWjYYiAO: 75726272 points, rank 63180
Team NarjBNBsUGSMXFWIoRwO: 1768874030 points, rank 15196
Team riHTkBDYkB: 2037241523 points, rank 7892
Team PrVBdtCjpTGYpJIW: 868698463 points, rank 41050
Team EHBYj: 1413175240 points, rank 25186
Team VlUyFib: 1605786827 points, rank 19806
Team QmmthfzwBtPAzCDzdt: 1432554780 points, rank 24621
Team FWrSum: 1551998051 points, rank 21260
Team ZmMUg: 1010197453 points, rank 36904
Team amtmak: 729983105 points, rank 45066
Team CNDYxkonIVYj: 1226838200 points, rank 30608
Team QccvB: 2194920856 points, rank 4721
Team nIgvIRee: 1761395311 points, rank 15405
Team OtkwlKIGwbzlDXkWYO: 1760272500 points, rank 15448
Team tpTfDLPxpskhHbPdm: 309022563 points, rank 56924
Team PrzPHJyJYbENdibGaSG: 94961508 points, rank 62690
Team JndLxWIQiJqd: 1352434492 points, rank 26898
Team LEsYFXQFsze: 1790326184 points, rank 14564
Team BAMPgUmjf: 200629554 points, rank 59864
Team qZQNU: 526962399 points, rank 50905
Team vRdoYds: 1602015308 points, rank 19935
Team XbvGtNPzKclhAVlp is ELIMINATED
Team VNlgchgcttEaXYiRZQ: 1771232435 points, rank 15132
Team SYUXBQWV: 97012059 points, rank 62654
Team YrdMOELgMlqJqNEsz: 496752244 points, rank 51755
Team BbsiEoqEQHNix is ELIMINATED
Team ZXQVBWpaDyCeAM: 1539388056 points, rank 21636
Team zNEvFdRhs: 210643133 points, rank 59625
Team rwhtWz: 532894656 points, rank 50765
Team nGvsrS: 1911080782 points, rank 11280
Team umOdM: 1613077167 points, rank 19602
Team etVgBxDcnp: 2755113629 points, rank 1843
Team kkynGBrqxjisMMZ: 1599004908 points, rank 20028
Team jzylbIa: 3308099774 points, rank 477
Team qcGTttGdisd: 621627903 points, rank 48234
Team eVdkpGELfIDphmySmBc: 1731012613 points, rank 16274
Team hDlIut: 1181671145 points, rank 31874
Team zkLMDHgPIvOxrqWV: 1766769290 points, rank 15291
Team wQxntwMOYKPHewuRl: 1244922585 points, rank 30136
Team kPHmulXjH: 2170550045 points, rank 4883
Team wYpACZfOmY: 2130053723 points, rank 5460
Team PaFXYttIZkSirwX is ELIMINATED
Team TdfIVhRJy: 2140054147 points, rank 5204
Team wEkeFZfaVUtEX: 1602789629 points, rank 19930
Team OtLXKTOq is ELIMINATED
Team IynhlSDYsaEPUi: 1555055548 points, rank 21235
Team CFBGmGn: 923122646 points, rank 39553
Team Xjcdthlp: 990235916 points, rank 37587
Team WSfZgqDvnod: 1895492176 points, rank 11695
Team IkCDShUjtguepvz: 508824529 points, rank 51512
Team ikKvrsIuezytJ: 1729125423 points, rank 16358
Team mLWBVZtGc: 1622611251 points, rank 19360
Team eImkZnUZEqSZAn: 308942540 points, rank 57063
Team dnJmsyZFVS: 261827664 points, rank 58318
Team IeZjZXPinNrJJtzcIPpr: 1177328655 points, rank 32021
Team nFrHfkrPtUKqzKT: 2111214759 points, rank 5943
Team lMpCCSPJKpk: 1550330366 points, rank 21361
Team mHyiYVLjcw: 1375366206 points, rank 26332
Team srZPeZhZByJiAFbDoZ: 1749218544 points, rank 15788
Team IsAFOdAk: 1217964137 points, rank 30914
Team ZzDSRr: 1516028458 points, rank 22353
Team JxAMqpKAsMk: 1683810365 points, rank 17646
Team CPiQObcSqFHIxUAiW: 2598036333 points, rank 2467
Team PkyfjErUCUmZpGxLq: 1652452737 points, rank 18531
Team YkdvtaShvM: 1222136668 points, rank 30819
Team wixgODL: 654565235 points, rank 47370
Team XCHqnMgYAFzRgCMF: 317628256 points, rank 56857
Team ooeCWV: 1456565808 points, rank 24030
Team xFOAFkousXRsF: 1105138536 points, rank 34172
Team XvzoNZomgwMLNMtGgGXu: 1369310908 points, rank 26527
Team exhgYU: 453689315 points, rank 53157
Team PIejjfHiiQddPXgUgp: 236033009 points, rank 59094
Team UjFVWZRRegyWIAJCmBqM: 1636753058 points, rank 18972
Team VdRLIzkLlvx: 1202077266 points, rank 31398
Team UtxOGrQoovdgWgzazh: 326465021 points, rank 56671
Team rcqKKIcXnLwfFqig: 1331805148 points, rank 27617
Team vrVfeELBKZFlnBoKjy: 1062137175 points, rank 35536
Team BXwlgfjYSkIvc: 1474598796 points, rank 23541
Team fYAHiIb is ELIMINATED
Team vmQjsymZOe: 1903696834 points, rank 11496
Team SVhjaXCpRYxsS: 112673743 points, rank 62506
Team RzJywC: 1832327621 points, rank 13462
Team zGZaQRCpHFqSIYwNpTkK: 949604359 points, rank 38872
Team JXVbPjPEqYQyaRD: 2081934853 points, rank 6752
Team HgTXJRJTKWSwmoIGF: 1157634644 points, rank 32677
Team piFfIgcCCBfbIwwWSMnO: 2239110092 points, rank 4454
Team otIFcPbsxvNlwb: 1327443999 points, rank 27756
Team BBzKH: 218157440 points, rank 59670
Team rdjnKivlbPPNgWKF: 1102820036 points, rank 34295
Team jqUcYi: 1888321193 points, rank 11935
Team lEqTTLkB is ELIMINATED
Team EcCYvK: 1821693465 points, rank 13782
Team dQbrMqRzdEeMmp: 1631100601 points, rank 19158
Team xXAEhBneJe: 1639910102 points, rank 18919
Team HIjsHoSQxOcE: 1373962365 points, rank 26439
Team qAtAO: 635971429 points, rank 48042
Team xnNKBmxXuTAlRhv: 1254438823 points, rank 29960
Team hILGc: 2280013092 points, rank 4196
Team nMdxHGQVcN: 1184243286 points, rank 31930
Team YJHDOnzU: 558523813 points, rank 50245
Team BjVTzbwxTze: 1799637229 points, rank 14397
Team YROaY: 1889982008 points, rank 11898
Team jFJvnfKmHVGPJJetm: 284700161 points, rank 57937
Team CKtwTAmf: 1936284572 points, rank 10672
Team AYOpZpttmj: 367081247 points, rank 55712
Team aWoRnsACpNPdIVsUwQ: 2512786224 points, rank 2885
Team HkzFwH: 1795002504 points, rank 14530
Team XbFxZaoRTFyvRdYi: 1367991914 points, rank 26655
Team tICmVihvpAWbsjWkSpim: 437763045 points, rank 53812
Team kXGiUukaVZrIDbaw: 777266647 points, rank 43988
Team iLTIPrVAZyYIfmnwh: 629901578 points, rank 48275
Team orODEe: 1849685911 points, rank 12971
Team jKaMekGXRcrqjsOpFPfc: 2689689660 points, rank 2098
Team HNDVsyyRZgyuWfMcJCI: 1029950449 points, rank 36538
Team JWLyzEJA: 137729578 points, rank 61980
Team hdTzjRLUdyKF: 625843389 points, rank 48415
Team iPqaPYn: 1147682658 points, rank 33041
Team dpddjowiewRNEJXgVBkK: 1154946731 points, rank 32848
Team evCFEknzOgkBrmUym: 554952788 points, rank 50428
Team QGObKLMlPyfltiJvZ: 1572371529 points, rank 20871
Team DYqjOBsHYAWtWFZj: 301869433 points, rank 57572
Team ErMrlwqTtiLSRIv: 1269498891 points, rank 29553
Team JmBAMb: 1059012629 points, rank 35737
Team dXCimvTLkipOlpEr: 803046548 points, rank 43286
Team BPnGAEZxjYxZ: 1993313928 points, rank 9192
Team loSRVKkTnDmU: 1096756833 points, rank 34586
Team lBoJuNVskkCMxMObg: 1315507245 points, rank 28205
Team zHdhPRD: 1010255658 points, rank 37200
Team lqhWVqxNRATspzgHNnA: 1003714929 points, rank 37418
Team nmhHoqPPq: 1038166177 points, rank 36349
Team mJJhECJtPIbhrobRMwKk: 2017064007 points, rank 8503
Team xrmiNNkCOkwEtZZed: 289840966 points, rank 57913
Team kECLDRhYDwICU: 1706671278 points, rank 17098
Team cnsQrwOhOBzAo: 2868532 points, rank 65597
Team QFunDtsEPnIoVWdCM: 1396160773 points, rank 25885
Team OtXBbRW: 1153062373 points, rank 32922
Team LHZmZe is ELIMINATED
Team KPhhOEwIOoTM: 173825815 points, rank 61084
Team aFNFccYlXBeuQIxs: 141652483 points, rank 61948
Team GoCVgbzFpsTC is ELIMINATED
Team fRDmS: 1290453247 points, rank 28972
Team jgYcMHPHRAjUURxnlp: 1515288212 points, rank 22506
Team GZXEe: 1385878020 points, rank 26204
Team CvMiKAfmX: 316806000 points, rank 57220
Team RYDKf: 1639509736 points, rank 18987
Team XULrnuT: 65703445 points, rank 64045
Team DQezO: 155658452 points, rank 61636
Team vyHCVkBq: 1997915854 points, rank 9053
Team cKGhHwwDNjIgSjbjK: 2073136917 points, rank 6997
Team BTsRkpLWKGo: 694452935 points, rank 46517
Team zrLcnJGYmCVc: 691066523 points, rank 46598
Team xlWtwqZvDpDYGs: 539995649 points, rank 50980
Team BidcsXKerV: 1730518700 points, rank 16423
Team VJwUzqNtkhrfcRvz: 1816842118 points, rank 13978
Team hoJSe: 971408891 points, rank 38416
Team nvVHddDw: 388506827 points, rank 55324
Team nXAhOqh: 833893127 points, rank 42450
Team rCVmgbtmwWoIVAda: 1543917284 points, rank 21680
Team VRzHHLsAQdECExnooUY: 843356996 points, rank 42171
Team adSOcmAljxm: 1223993702 points, rank 30989
Team ipYtIY: 1969169787 points, rank 9843
Team BfTufweY: 1126324015 points, rank 33761
Team UGMggv: 1720531756 points, rank 16723
Team CMXfZMPYINyRkTmC is ELIMINATED
Team EUXNs: 461840085 points, rank 53315
Team ZZPMsNiFCN: 1015682420 points, rank 37144
Team afNyGwsHfGTmbtnQhczV: 1643871486 points, rank 18896
Team fiQHBcQKpNgQd: 1114050146 points, rank 34151
Team ExkVKjBEJem: 2067804724 points, rank 7139
Team Howbch: 2008113757 points, rank 8786
Team kRKZddPQwuHcKL: 1292037935 points, rank 28984
Team ZziDQA: 360024616 points, rank 56135
Team YHDcgH is ELIMINATED
Team dAnGnhdOJAyceWlUiTh is ELIMINATED
Team FPgvZOxUiS: 492579957 points, rank 52410
Team uDHWIXiwzQBiWEoc is ELIMINATED
Team sMYlkOLZtzVCO: 217423986 points, rank 60056
Team xbDAFPVNSButbRolhFs: 1402882696 points, rank 25753
Team fUncVZQLbXeNJbqT: 2092445184 points, rank 6524
Team kCTOAKe: 1863703264 points, rank 12646
Team ksMur: 1485517717 points, rank 23413
Team IojDUjIClEOwbOxwhF: 217410120 points, rank 60083
Team KrZjqBbnLZ: 668881284 points, rank 47334
Team ULtTVAtBWwKjMf: 924973027 points, rank 39885
Team llaxOPlCiekaLJqeUf: 1540779316 points, rank 21837
Team ZgRcbWIdgpOL is ELIMINATED
Team iTqCCqMfA: 565525298 points, rank 50346
Team BVZpGsPzkwzqZjsPt: 645419930 points, rank 48070
Team bdiTJjgNgqKvyKheFnXl: 502745188 points, rank 52191
Team allYMImbdpGKMKXbqLip: 512578782 points, rank 51923
Team ruwcqGT: 1676180874 points, rank 18026
Team kakbQFbrJtMN: 441660311 points, rank 53986
Team ClEOVq: 2126693267 points, rank 5611
Team MvJaMGRTZFPGfDpLd: 1547746180 points, rank 21640
Team fJJuCsIUmM: 1007962186 points, rank 37445
Team qwEuLCeMkITHn: 591112676 points, rank 49652
Team hoXzvIM is ELIMINATED
Team JmGwEujRIBdnaNlGQxr: 731686829 points, rank 45568
Team Oeosvmk: 369698410 points, rank 56000
Team rsUrdsrZucUwtjhSZ is ELIMINATED
Team XeRKKLthNsvgSuWQKiA: 632959862 points, rank 48469
Team PYQUaroiw: 581968550 points, rank 49939
Team wOratSbqJIPVX: 1523505701 points, rank 22344
Team yPUbyAUEQo is ELIMINATED
Team kgJFBJezhg: 1149497761 points, rank 33187
Team AtsGkJTumraUpGcmFb: 1177811796 points, rank 32338
Team ApDgvuZnHg: 829697020 points, rank 42719
Team SiWNltZ: 1693797252 points, rank 17558
Team DaNNFZUIoOcbeUFg: 1023463169 points, rank 37001
Team ktkoV: 1957316138 points, rank 10159
Team sLPRrOOm: 1082403616 points, rank 35227
Team kzZYhgbexlwfINjE: 1359160184 points, rank 27059
Team vClQAU: 458700891 points, rank 53567
Team RdAjcxhfdqCgZDIuMElF is ELIMINATED
Team FlCGGrXlqNYGgjh is ELIMINATED
Team RETeJnlHhrucsKrX: 19724755 points, rank 65521
Team anaHasIFQbWBfoAEdZ: 847565382 points, rank 42208
Team lFyhJzG: 2052637094 points, rank 7592
Team MXTCgGjNljnavjZKn: 255667747 points, rank 59174
Team HJQOgtpbzSk: 1966914488 points, rank 9926
Team EKkDp: 474531050 points, rank 53113
Team LsuMWgmpsLZwjkOA: 667494950 points, rank 47477
Team JgcJaLTeQTYgRJYAHdZa: 607355829 points, rank 49256
Team eJAeHybjqWXPO: 738290434 points, rank 45434
Team dYMaKdfei is ELIMINATED
Team DgNAP is ELIMINATED
Team BMgGvxJs: 3445468172 points, rank 309
Team vrFgRyyVZXZBtTUWSeNa: 1330880108 points, rank 27920
Team muNxeYpkIUVPTb: 719285488 points, rank 45996
Team tNxgAnZUNzCHJBcGPDv is ELIMINATED
Team XhPOcIoP: 1006662562 points, rank 37565
Team gFiiJxnGquzOZXUVuHE: 880517399 points, rank 41306
Team fmfrZwzO: 163495767 points, rank 61744
Team BHrTtaizpZ: 2442937123 points, rank 3286
Team fsIQXndmhOTlc: 450173554 points, rank 53888
Team PfhirKvNi: 1542781905 points, rank 21833
Team tELWihfm: 1737125975 points, rank 16328
Team LDhVi: 825390583 points, rank 42962
Team grogDd: 1500272762 points, rank 23077
Team LywUTVKWKj: 1416707912 points, rank 25482
Team KGzgyOklv is ELIMINATED
Team pgLYv is ELIMINATED
Team HTJtIRPwUEimXtHnEr: 1317677889 points, rank 28365
Team bQLRRpM: 259499249 points, rank 59194
Team iGioHpwvfnUk: 132735979 points, rank 62672
Team JMXMgjJoAeiGXpvqW: 700632143 points, rank 46654
Team IJzZeifFxSW: 2029796221 points, rank 8218
Team WWvMuhpGBOS: 2041034518 points, rank 7902
Team jIHCPuCdXRDjr is ELIMINATED
Team CsdgmzN is ELIMINATED
Team HqaRjS: 1013706497 points, rank 37440
Team HEMAcPxtiYFBzzTpfJen: 1487029234 points, rank 23473
Team ZhSHIvnyD: 556612191 points, rank 50843
Team jmlcbkklALeBVnMo: 398975299 points, rank 55430
Team PYwrmxjvNg: 1294668281 points, rank 29082
Team OnYUHxwDWbbA: 1487358164 points, rank 23468
Team vTAZXK: 648413319 points, rank 48217
Team GCgjEg: 869076210 points, rank 41742
Team TyagcUX: 385767285 points, rank 55802
Team ogYhWvYqf: 1093805585 points, rank 34995
Team zzRqvkUhkxKlo: 1549425797 points, rank 21690
Team MHzFMRIXqxHRDKzzUxGO: 543728446 points, rank 51244
Team PdlrBJUCMirHz: 1010825331 points, rank 37540
Team XRvmCijKOPb: 2628530436 points, rank 2381
Team ROjwqxg: 978037678 points, rank 38520
Team ZMWyrFbTGGeKvrWkUqk: 1558703295 points, rank 21455
Team KfeOmQzqLmrGPPjgNkZ: 902908398 points, rank 40770
Team zOffQkbJMVogiQ: 1837322114 points, rank 13472
Team TSJJAyuF: 2061700048 points, rank 7375
Team tmDfd: 1594204643 points, rank 20483
Team iEKZOuWYI: 1222623940 points, rank 31237
Team FiSkHCsZkExkYa: 1474240696 points, rank 23879
Team eekLbNdApVtRfBXETULv: 721741382 points, rank 46090
Team npoJubzp: 2168985697 points, rank 4985
Team rLweufeGBDOoTUc: 1490949295 points, rank 23391
Team MorFuezl: 1465962306 points, rank 24116
Team ACIrFsDhMnHE: 2109150454 points, rank 6091
Team xCeANdgI: 2206714402 points, rank 4731
Team utnepczBRIxtIdnimR: 664169699 points, rank 47778
Team FjVSpyMhfrvmNjaay: 1935341650 points, rank 10837
Team rQURMFJsnIXu: 1179960058 points, rank 32436
Team oLLRPjYMlFeXUzzURezQ: 2047167229 points, rank 7746
Team qwENkcXlBZmWPogZTH: 1286320384 points, rank 29375
Team viJHxfzgzbVOtRhETRv: 1363307157 points, rank 27085
Team SxSrbcSnmReZffkmQ: 525821417 points, rank 51865
Team UKxII: 507121183 points, rank 52405
Team anVeblbTupJXYFIKWb: 2650190809 points, rank 2302
Team dbuNsUiVEuqpZftL: 409454207 points, rank 55216
Team QaHDgJkxOxWpdpox: 2179499944 points, rank 4924
Team zVQarwzbvJXDtq: 1222228491 points, rank 31284
Team jyWpin: 977479747 points, rank 38595
Team PMykVmnxGv: 2734532090 points, rank 1959
Team ojYAEHhgDOvTX: 913052345 points, rank 40522
Team SpsdhTeEpIhR: 1846104177 points, rank 13225
Team OTBRRnXyahaEzuC: 480578901 points, rank 53233
Team auVgWuWWVUtcWYBECKl: 2102344521 points, rank 6287
Team pnRkgmEuyFc: 776111315 points, rank 44569
Team svATzcXGh: 1041729695 points, rank 36668
Team HeCiwvURPaNrHhRErfsz: 376047624 points, rank 56193
Team EDeOGfNRwNvNmqkkBx: 1433963629 points, rank 25078
Team HYbvm: 502141537 points, rank 52597
Team EFPRuemeaBnWGD: 1315751290 points, rank 28527
Team OVzNX: 2542063940 points, rank 2784
Team ysZqHhpEwBq: 2109457704 points, rank 6093
Team mPWhuIdjYXA: 2019754294 points, rank 8529
Team hJRjiUjWQNYahMBvAA: 1340454711 points, rank 27795
Team gUexPQP: 1877293211 points, rank 12404
Team KAqvJv: 1386264512 points, rank 26492
Team rgzKWU: 693853397 points, rank 47036
Team YAWQgGPOmxrTbxEPyeiC is ELIMINATED
